景点名称,URL,失败原因
措学仁玛营地,https://you.ctrip.com/sight/tingri2450/145388724.html,未取到 poiId（无点评或页面无评论模块）
朗通庄园,https://you.ctrip.com/sight/kangma120372/150247220.html,未取到 poiId（无点评或页面无评论模块）
天河广场,https://you.ctrip.com/sight/shigatse100/151253659.html,未取到 poiId（无点评或页面无评论模块）
孜东曲德寺,https://you.ctrip.com/sight/namlingcounty120373/5715270.html,未取到 poiId（无点评或页面无评论模块）
绒布德寺,https://you.ctrip.com/sight/tingri2450/4579306.html,未取到 poiId（无点评或页面无评论模块）
尼木吞巴非遗中心,https://you.ctrip.com/sight/nyemo1446406/150340152.html,未取到 poiId（无点评或页面无评论模块）
霍尔多西尔波列,https://you.ctrip.com/sight/garcounty120143/148642578.html,未取到 poiId（无点评或页面无评论模块）
巴拉村,https://you.ctrip.com/sight/shangrila106/1487407.html,已获取 poiId 但未采集到评论
千湖山,https://you.ctrip.com/sight/shangrila106/144954.html,已获取 poiId 但未采集到评论
剪子湾山,https://you.ctrip.com/sight/yajiang3137/5068240.html,已获取 poiId 但未采集到评论
康宁寺,https://you.ctrip.com/sight/batang3102/1416388.html,已获取 poiId 但未采集到评论
尼木国家森林公园,https://you.ctrip.com/sight/nyemo1446406/148686376.html,未取到 poiId（无点评或页面无评论模块）
珠峰观景台,https://you.ctrip.com/sight/tingri2450/143753271.html,未取到 poiId（无点评或页面无评论模块）
多庆错,https://you.ctrip.com/sight/kangma120372/144196474.html,未取到 poiId（无点评或页面无评论模块）
巴夏景区,https://you.ctrip.com/sight/yadong120090/152837428.html,未取到 poiId（无点评或页面无评论模块）
羊湖观景,https://you.ctrip.com/sight/nagarzecounty2438/152884981.html,未取到 poiId（无点评或页面无评论模块）
沙琅国王峰,https://you.ctrip.com/sight/zhongba120376/152802239.html?poiType=3&scene=online,未取到 poiId（无点评或页面无评论模块）
佩枯措观景台,https://you.ctrip.com/sight/gyirong120374/152830907.html?poiType=3&scene=online,未取到 poiId（无点评或页面无评论模块）
雅鲁藏布江大拐弯,https://you.ctrip.com/sight/bome2436/152907182.html,未取到 poiId（无点评或页面无评论模块）
天路十八弯观景台,https://you.ctrip.com/sight/yajiang3137/5710384.html,已获取 poiId 但未采集到评论
泉华滩,https://you.ctrip.com/sight/kangding344/1701608.html,已获取 poiId 但未采集到评论
